"","time","depth","ensemble","species_1","species_2","forecast_issue_time","data_assimilation","ForecastProject_id","Forecast_id"
"1",2001-04-14,1,1,0.5,0.5,2001-03-04,0,30405043,"20010304T060000"
"2",2001-04-14,1,2,0.5,0.5,2001-03-04,0,30405043,"20010304T060000"
"3",2001-04-14,1,3,0.5,0.5,2001-03-04,0,30405043,"20010304T060000"
"4",2002-04-14,1,1,0.983709584471467,1.94560301828604,2001-03-04,0,30405043,"20010304T060000"
"5",2002-04-14,1,2,0.966933614059215,1.9334369156602,2001-03-04,0,30405043,"20010304T060000"
"6",2002-04-14,1,3,0.972059986002002,1.94763942701451,2001-03-04,0,30405043,"20010304T060000"
"7",2003-04-14,1,1,1.82870020112413,7.13033283792834,2001-03-04,0,30405043,"20010304T060000"
"8",2003-04-14,1,2,1.81810813392842,7.09147239949181,2001-03-04,0,30405043,"20010304T060000"
"9",2003-04-14,1,3,1.82377511703816,7.14681531234329,2001-03-04,0,30405043,"20010304T060000"
"10",2004-04-14,1,1,3.04726488711992,20.2936141880871,2001-03-04,0,30405043,"20010304T060000"
"11",2004-04-14,1,2,3.0469422031879,20.233477824578,2001-03-04,0,30405043,"20010304T060000"
"12",2004-04-14,1,3,3.05249572896676,20.3284597822476,2001-03-04,0,30405043,"20010304T060000"
"13",2005-04-14,1,1,3.93066164497874,16.6111983327403,2001-03-04,0,30405043,"20010304T060000"
"14",2005-04-14,1,2,3.91248468502227,16.753944651089,2001-03-04,0,30405043,"20010304T060000"
"15",2005-04-14,1,3,3.93602438606625,16.5310182827061,2001-03-04,0,30405043,"20010304T060000"
"16",2006-04-14,1,1,5.00316101718895,22.126802505238,2001-03-04,0,30405043,"20010304T060000"
"17",2006-04-14,1,2,4.99195224588594,21.9715450149833,2001-03-04,0,30405043,"20010304T060000"
"18",2006-04-14,1,3,5.02973089325373,22.1882699184023,2001-03-04,0,30405043,"20010304T060000"
"19",2007-04-14,1,1,5.28903469572281,10.0938260689416,2001-03-04,0,30405043,"20010304T060000"
"20",2007-04-14,1,2,5.29348174542653,10.5401121394936,2001-03-04,0,30405043,"20010304T060000"
"21",2007-04-14,1,3,5.29740769647314,9.88984015809786,2001-03-04,0,30405043,"20010304T060000"
"22",2008-04-14,1,1,6.70446050739569,22.679223537535,2001-03-04,0,30405043,"20010304T060000"
"23",2008-04-14,1,2,6.69321240138603,22.974860577756,2001-03-04,0,30405043,"20010304T060000"
"24",2008-04-14,1,3,6.75410138112681,22.5217539701761,2001-03-04,0,30405043,"20010304T060000"
"25",2009-04-14,1,1,5.88086233384664,6.70794368010534,2001-03-04,0,30405043,"20010304T060000"
"26",2009-04-14,1,2,5.84458209837104,5.80625157613644,2001-03-04,0,30405043,"20010304T060000"
"27",2009-04-14,1,3,5.91227368283922,7.17844647304294,2001-03-04,0,30405043,"20010304T060000"
"28",2010-04-14,1,1,7.51204458509938,18.2878667541328,2001-03-04,0,30405043,"20010304T060000"
"29",2010-04-14,1,2,7.60483933306478,16.6501903174913,2001-03-04,0,30405043,"20010304T060000"
"30",2010-04-14,1,3,7.49620468469755,19.0710936658064,2001-03-04,0,30405043,"20010304T060000"
"31",2011-04-14,1,1,6.63113804169315,16.7990110041345,2001-03-04,0,30405043,"20010304T060000"
"32",2011-04-14,1,2,6.89975725593839,19.3193410512968,2001-03-04,0,30405043,"20010304T060000"
"33",2011-04-14,1,3,6.51442017847394,15.2907966620458,2001-03-04,0,30405043,"20010304T060000"
"34",2012-04-14,1,1,6.63466086260863,19.8564063708863,2001-03-04,0,30405043,"20010304T060000"
"35",2012-04-14,1,2,6.38288535315976,15.3008535647167,2001-03-04,0,30405043,"20010304T060000"
